年份,项目编号,基地名称(申办单位),基地负责人,联系电话,项目名称,项目负责人,联系电话,举办期限起止日期,举办地点,授予学员学分,教学对象,拟招生人数,备注
2021,J51-21-06 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,第八届全国重要病媒生物抗药性监测与控制技术培训,刘起勇,010-58900738,"2021-04-12-2021-04-16
		5.0天",北京,10分,相关专业的继续教育对象,120,
2021,J51-21-07 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流行病学应用与实践系列培训,么鸿雁,010-58900524,"2021-07-13-2021-07-16
		4.0天",四川成都市,8分,相关专业的继续教育对象,45,
2021,J51-21-08 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,医学论文写作系列培训,唐浏英,010-63530971,"2021-07-05-2021-07-06
		2.0天",江苏泰州市,4分,相关专业的继续教育对象,100,
2021,J51-21-09 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,重点寄生虫病控制技术研讨班,陈颖丹,021-64739075,"2021-08-11-2021-08-13
		3.0天",黑龙江哈尔滨市,6分,相关专业的继续教育对象,70,
2021,J51-21-10 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,空间流行病学分析方法与应用,李石柱,021-54241570,"2021-10-19-2021-10-21
		3.0天",海南海口市,6分,相关专业的继续教育对象,65,
2021,J51-21-11 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,国家疟疾镜检能力评估师资培训班,夏志贵,13901953298,"2021-09-07-2021-09-13
		7.0天",上海,10分,相关专业的继续教育对象,25,
2021,J51-21-15 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,英文医学论文写作培训班,周晓农,021-64738058,"2021-07-22-2021-07-23
		2.0天",上海,4分,相关专业的继续教育对象,12,
2021,J51-21-16 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病诊断网络平台运行管理培训班,许静,021-54650863,"2021-08-02-2021-08-03
		2.0天",江西南昌市,4分,相关专业的继续教育对象,50,
2021,J51-21-17 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国病毒性出血热理论与实验室检测技术培训班,李建东,010-58900825,"2021-10-28-2021-10-29
		2.0天",北京,4分,相关专业的继续教育对象,64,
2021,J51-21-18 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,公共卫生援外师资培训,王多全,021-54593271,"2021-04-15-2021-04-18
		4.0天",云南普洱,8分,相关专业的继续教育对象,40,
2021,J51-21-19 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病监测培训班,吕山,021-64662182,"2021-04-06-2021-04-07
		2.0天",上海,4分,相关专业的继续教育对象,30,
2021,J51-21-20 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,病原菌药物敏感性检测质量控制与管理培训班,李娟,010-58900766,"2021-10-25-2021-10-29
		5.0天",北京,10分,相关专业的继续教育对象,55,
2022,J13-22-18 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,城市高危人群癌症筛查和早诊早治技术全国培训班,陈万青,010-87787039,"2022-06-07-2022-06-08
		2.0天",广东深圳市,4分,相关专业的继续教育对象,300,
2022,J13-22-19 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,淮河流域早诊早治技术培训,陈万青,010-87788662,"2022-05-20-2022-05-21
		2.0天",河南郑州市,4分,相关专业的继续教育对象,150,
2022,J13-22-20 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,第二届肿瘤疾病编码、分组与绩效管理研讨班,魏文强,010-13011880657,"2022-04-01-2022-04-02
		2.0天",北京,4分,相关专业的继续教育对象,100,
2022,J13-22-21 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,肿瘤专科医院病案信息管理新进展学习班,樊美娜,13681273155,"2022-07-20-2022-07-23
		4.0天",广东深圳市,8分,相关专业的继续教育对象,100,
2022,J13-22-38 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,全国肿瘤预防与控制实践培训班,赵方辉,010-87788489,"2022-05-07-2022-05-08
		2.0天/期
		
		
查看多期举办时间地点",四川成都市,4分/期,相关专业的继续教育对象,100/期,
2022,J13-22-39 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,中国子宫颈癌防治研究进展学术研讨会,赵方辉,010-87788977,"2022-04-23-2022-04-24
		2.0天",北京,4分,相关专业的继续教育对象,200,
2022,J13-22-43 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,癌症一级预防基层推广实施技术培训,张亚玮,010-87788012,"2022-04-11-2022-04-12
		2.0天/期
		
		
查看多期举办时间地点",北京,4分/期,疾病预防控制中心、社区卫生服务中心以及社区卫生服务站健康服务从业人员,120/期,
2022,J13-22-46 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,肿瘤临床大数据真实世界研究方法学培训,张亚玮,010-87788012,"2022-05-29-2022-05-31
		3.0天/期
		
		
查看多期举办时间地点",北京,6分/期,肿瘤流行病科研工作者、临床医生,100/期,
2022,J13-22-47 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,肿瘤登记技术与方法培训班,魏文强,010-87788661,"2022-09-19-2022-09-20
		2.0天",北京,4分,相关专业的继续教育对象,120,
2022,J35-22-67 (国),重庆医科大学附属儿童医院,李秋,023-63603929,临床研究设计与统计分析方法深度学习班,罗顺清,13608390231,"2022-06-24-2022-06-25
		2.0天",重庆,4分,相关专业的继续教育对象,180,
2022,J51-22-01 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,病原菌药物敏感性检测质量与管理培训班,李娟,010-58900766,"2022-04-12-2022-04-14
		3.0天",浙江杭州市,6分,相关专业的继续教育对象,80,
2022,J51-22-06 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊综合干预及管理技能培训,罗巍,010-58900950,"2022-07-12-2022-07-14
		3.0天/期
		
		
查看多期举办时间地点",陕西西安市,6分/期,相关专业的继续教育对象,30/期,
2022,J51-22-07 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊专业技能培训,罗巍,010-58900950,"2022-06-13-2022-06-17
		5.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,30/期,
2022,J51-22-08 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,中非疟疾防控合作项目可持续发展师资培训班,王多全,021-54593271,"2022-04-05-2022-04-08
		4.0天",云南普洱市,8分,相关专业的继续教育对象,50,
2022,J51-22-10 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,空间流行病学分析方法与应用,李石柱,021-54241570,"2022-10-19-2022-10-21
		3.0天",海南海口市,6分,相关专业的继续教育对象,65,
2022,J51-22-11 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,主要寄生虫病防控技术培训班,郑彬,18616529216,"2022-08-22-2022-08-24
		3.0天",上海,6分,相关专业的继续教育对象,40,
2022,J51-22-14 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,布鲁氏菌病现场快速检测新技术培训班,姜海,010-58900768,"2022-07-16-2022-07-18
		3.0天/期
		
		
查看多期举办时间地点",内蒙古鄂尔多斯,6分/期,相关专业的继续教育对象,100/期,
2022,J51-22-17 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2022-07-12-2022-07-15
		4.0天",四川成都市,8分,相关专业的继续教育对象,60,
2022,J51-22-18 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,WHO/TDR《实施性研究：贫困所致传染病》课程,官亚宜,021-54593271,"2022-04-01-2022-04-06
		6.0天/期
		
		
查看多期举办时间地点",上海,10分/期,相关专业的继续教育对象,300/期,
2022,J51-22-19 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,医学论文写作培训,唐浏英,010-63530971,"2022-07-15-2022-07-16
		2.0天",山东济南市,4分,相关专业的继续教育对象,150,
2022,J51-22-20 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病诊断网络平台运行管理与检测技术培训班,许静,021-54650863,"2022-05-14-2022-05-16
		2.5天",湖南岳阳市,5分,相关专业的继续教育对象,70,
2022,J51-22-22 (国),中国疾病预防控制中心（传染病预防控制）,高福,021-54593271,中非卫生合作血吸虫病信息技术与疾病监测训练营,李石柱,021-54593271,"2022-07-07-2022-07-11
		5.0天",新疆喀什市,10分,国内血吸虫病监测、信息技术等相关专业人员,50,
2022,J51-22-26 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,寄生虫病健康教育作品评价体系研讨班,钱门宝,021-64739075,"2022-06-13-2022-06-14
		2.0天",海南海口市,4分,相关专业的继续教育对象,70,
2022,J51-22-30 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,大数据分析技术培训,豆智慧,010-58900518,"2022-08-12-2022-08-16
		5.0天",山东济南市,10分,相关专业的继续教育对象,53,
2022,J51-22-32 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国病毒性出血热理论与实验室检测技术培训班,李建东,010-58900824,"2022-10-26-2022-10-27
		2.0天",北京,4分,相关专业的继续教育对象,80,
2022,J52-22-12 (国),天津医科大学附属肿瘤医院（肿瘤学）,郝希山,022-23537796,肿瘤营养治疗进展培训,王昆,022-23537796,"2022-10-29-2022-10-30
		1.5天",天津,3分,相关专业的继续教育对象,200,
2022,J52-22-13 (国),天津医科大学附属肿瘤医院（肿瘤学）,郝希山,022-23537796,常见恶性肿瘤的规范化筛查与研究进展,刘俊田,022-23537796,"2022-10-29-2022-10-29
		1.0天",天津,2分,相关专业的继续教育对象,80,
